Group / Category;Feature Title;Feature Description;Release Date;Release Version;;;;;;;;;;;;;;;;;;;;;
General features;Chat Etiquette Tool;Account owners and admins can create Chat Etiquette policies to identify defined keywords or text patterns/regular expressions (such as account numbers) and then determine what action occurs when a policy is triggered. When a user attempts to send a message through Zoom Chat and/or in-meeting/webinar chat that triggers a Chat Etiquette policy, the user is either warned or blocked from sending the message. Chat Etiquette policies are configured at the account level, and can be activated at the account or group level. Admins can create up to 50 policies on the account. This feature requires client version 5.6.0 or higher.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;One-time password requirement for suspicious logins;Users with a work email login type and who do not have two-factor authentication enabled are required to enter a one-time password, sent to their account email, when Zoom detects a suspicious login, for example, a login from a different country or device than usual, among other factors.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO options: Disable broadcasting to messages to breakout rooms - DisableBroadcastBOMessage;Disabled by default, this will disable the ability for the host to broadcast a message to all open breakout rooms.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO options: Allow joining meetings hosted in ZfG Cloud without authentication - OverrideEnforceSigninIntercloud;Disabled by default, this option overrides the EnforceSignInToJoin policy and allows a user to join a Zoom meeting hosted on the ZfG Cloud, without the need to authenticate.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO options: Disable all intercloud features - Intercloud_DisableAllFeatures;Disabled by default, this option disables all features except for audio and video for meetings hosted on the ZfG cloud.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO options: Disable in-meeting chat on intercloud meetings - Intercloud_DisableMeetingChat;Disabled by default, this option disables the use of in-meeting chat on meetings hosted on the ZfG Cloud.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO options: Disable screen sharing ability on intercloud meetings - Intercloud_DisableShareScreen;Disabled by default, this option disables the local ability to share screen on meetings hosted on the ZfG Cloud. This does not affect incoming shared content.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO options: Disable meeting reactions on intercloud meetings - Intercloud_DisableMeetingReactions;Disabled by default, this option disables the use of meeting reactions on meetings hosted on the ZfG Cloud.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO options: Disable file transfers on intercloud meetings - Intercloud_DisableMeetingFileTransfer;Disabled by default, this option disables the use of file transfers through in-meeting chat on meetings hosted on the ZfG Cloud.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO options: Disable annotation on intercloud meetings - Intercloud_DisableAnnotation;Disabled by default, this option disables the local ability to annotate on shared content in meetings hosted on the ZfG Cloud. This does not affect others ability to annotate.;April 18, 2022;version 5.10.3 (4851);;;;;;;;;;;;;;;;;;;;;
