Group / Category;Feature Title;Feature Description;Release Date;Release Version;;;;;;;;;;;;;;;;;;;;;
General features;Support for Apple authentication;Users will be able to sign in with their Apple ID on the Zoom desktop client and mobile apps.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
General features;Dark mode support;Users can select dark mode as their theme in their client Settings.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
General features;Enhancement to contacts count;The Contacts tab is no longer capped at 1,000 contacts for each contact group. Contacts will continuously load as many contacts as you have in the contact group as you scroll down. This feature must be enabled by Zoom.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO/MDM options: Allow Apple login - EnableAppleLogin;Enabled by default, this option controls access to the Apple authentication method. This login method can also be restricted at the account level by an account admin.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO/MDM options: Control visibility of Video Message option - ShowVideoMessageButton;Enabled by default, this option controls access to the Video Message option in Zoom chat.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO/MDM options: Control visibility of profile photos in Zoom Chat - ShowProfilePhotosInChat;Disabled by default, this option controls if user profile pictures are shown in Zoom Chat.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
General features;Additional MSI/PLIST/GPO/MDM options: DisableWebinarReaction - Disable use of Webinar Reactions;Disabled by default, this option controls access to Webinar Reactions.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Meeting/webinar features;Avatars;When enabled during a meeting, Zoom’s technology uses your device’s camera to detect where a face is on the screen and apply the selected avatar effect. This feature requires 5.10.0 or higher.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Meeting/webinar features;Live streaming to Twitch;Hosts can live stream their meeting or webinar to Twitch directly, rather than manually configuring the stream as a custom live-streaming service.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Meeting/webinar features;Show invitee list in Participants panel;Displaying the invitee list in the Participants panel allows hosts, co-hosts, and alternative hosts to view a Not Joined section in the Participants panel of the meeting. This section lists the people who were invited to the meeting but have not yet joined, as well as their calendar response. This feature requires hosts and users to have the Calendar and Contacts Integration (Google Calendar or Outlook Calendar) configured in their Profile. This feature requires 5.9.6 or higher. This feature was initially available to limited account types, and now is available to all account types.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Meeting features;Rename participants in Waiting Room;Hosts and co-hosts can rename meeting participants in the waiting room before they enter the meeting. After locating a participant's name in the waiting room section of the participant list, an option appears in the ... menu to rename that participant. The participant is notified of this change.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Meeting features;Save Breakout Room assignments for future use;When breakout rooms are created, the host can save that current configuration and participant assignments, which can be used in future sessions. This is only available for recurring meetings and limited to 10 saved configurations per user.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Meeting features;Share audio with content to all breakout rooms;Hosts are able to share computer audio, along with shared content, to all breakout rooms. This can be enabled when beginning the share, or while sharing is in progress. This also supports the Share Video option as well for Breakout Rooms.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Meeting features;Optional include co-host when automatically assigning breakout rooms;When creating breakout rooms and choosing to assign participants automatically, any co-hosts will now not automatically be included in the assignments, but the host can choose to include them.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Webinar features;Webinar Backstage;The webinar host and other panelists can move between the backstage area, which is not visible or heard by attendees, and the live webinar area, which is visible to and heard by attendees. Panelists backstage can still hear and view the live webinar to keep an eye on the presentation and know when to rejoin. This feature requires version 5.10.0 or higher for panelists, and the host must have a Zoom Events license. This feature will not be immediately available, as it is dependent on a backend server update currently scheduled for April 9, 2022.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
